Timestamp,Panel_ID,Irradiance (W/m²),Temperature (°C),Voltage (V),Current (A),Power_Output (W),Status
2024-08-15 08:00:00,P001,850,30,37.5,8.2,307.5,Normal
2024-08-15 08:15:00,P001,860,31,37.8,8.3,313.7,Normal
2024-08-15 08:30:00,P001,870,32,38.0,8.5,323.0,Normal
2024-08-15 08:45:00,P002,855,30,36.9,8.0,295.2,Normal
2024-08-15 09:00:00,P002,860,31,37.1,8.1,300.3,Normal
2024-08-15 09:15:00,P002,865,32,37.4,8.2,306.8,Normal
2024-08-15 09:30:00,P001,870,33,38.2,8.4,320.1,Fault
2024-08-15 09:30:00,P002,870,33,37.6,8.3,311.3,Normal
2024-08-15 09:45:00,P001,875,34,38.3,8.5,325.1,Normal
2024-08-15 10:00:00,P001,880,35,38.5,8.6,331.1,Normal
2024-08-15 10:15:00,P001,885,36,38.8,8.7,342.1,Normal
2024-08-15 10:30:00,P001,890,37,39.0,8.8,351.2,Normal
2024-08-15 10:45:00,P002,875,34,37.8,8.5,328.3,Normal
2024-08-15 11:00:00,P002,880,35,38.0,8.6,338.8,Normal
2024-08-15 11:15:00,P002,885,36,38.2,8.7,347.4,Normal
2024-08-15 11:30:00,P003,850,33,36.9,8.1,298.0,Normal
2024-08-15 11:45:00,P003,855,34,37.1,8.2,295.4,Normal
2024-08-15 12:00:00,P003,860,35,37.3,8.3,300.9,Normal
2024-08-15 12:15:00,P004,865,36,37.5,8.4,316.2,Normal
2024-08-15 12:30:00,P004,870,37,37.8,8.5,329.5,Normal
2024-08-15 12:45:00,P004,875,38,38.0,8.6,337.5,Normal
2024-08-15 13:00:00,P001,895,38,39.2,8.9,347.7,Normal
2024-08-15 13:15:00,P001,900,39,39.5,9.0,360.0,Normal
2024-08-15 13:30:00,P001,905,40,39.7,9.1,367.4,Normal
2024-08-15 13:45:00,P002,890,37,38.4,8.8,331.2,Normal
2024-08-15 14:00:00,P002,895,38,38.6,8.9,335.7,Normal
2024-08-15 14:15:00,P002,900,39,38.9,9.0,342.0,Normal
2024-08-15 14:30:00,P003,865,36,37.5,8.4,318.0,Normal
2024-08-15 14:45:00,P003,870,37,37.8,8.5,329.5,Normal
2024-08-15 15:00:00,P003,875,38,38.0,8.6,337.5,Normal
2024-08-15 15:15:00,P004,880,39,38.2,8.7,336.7,Normal
2024-08-15 15:30:00,P004,885,40,38.4,8.8,347.8,Normal
2024-08-15 15:45:00,P004,890,41,38.5,8.9,357.5,Normal
2024-08-15 16:00:00,P001,910,40,39.0,9.2,361.8,Normal
2024-08-15 16:15:00,P001,915,41,39.3,9.3,368.4,Normal
2024-08-15 16:30:00,P001,920,42,39.5,9.4,373.0,Normal
2024-08-15 16:45:00,P002,905,39,38.6,9.0,351.2,Normal
2024-08-15 17:00:00,P002,910,40,38.8,9.1,359.0,Normal
2024-08-15 17:15:00,P002,915,41,39.0,9.2,366.6,Normal
2024-08-15 17:30:00,P003,880,38,37.8,8.8,336.0,Normal
2024-08-15 17:45:00,P003,885,39,38.0,8.9,337.5,Normal
2024-08-15 18:00:00,P003,890,40,38.1,9.0,355.5,Normal
2024-08-15 18:15:00,P004,895,41,38.2,9.1,359.2,Normal
2024-08-15 18:30:00,P004,900,42,38.3,9.2,369.0,Normal
2024-08-15 18:45:00,P004,905,43,38.4,9.3,374.0,Normal
